DTYPE,code,displayValue,productCd,countryCd
CountryLookupValue,C141,Compositor,,IE
CountryLookupValue,C142,Computer Analyst,,IE
CountryLookupValue,C143,Computer Consultant,,IE
CountryLookupValue,C144,Computer Engineer,,IE
CountryLookupValue,C145,Computer Manager,,IE
CountryLookupValue,C146,Computer Operator,,IE
CountryLookupValue,C147,Computer Programmer,,IE
CountryLookupValue,C148,Computer Technician,,IE
CountryLookupValue,C149,Confectioner,,IE
CountryLookupValue,C150,Conference Manager,,IE
CountryLookupValue,C151,Conference Organiser,,IE
CountryLookupValue,C152,Conservationist,,IE
CountryLookupValue,C153,Conservator,,IE
CountryLookupValue,C154,Construction Engineer,,IE
CountryLookupValue,C155,Construction Worker,,IE
CountryLookupValue,C156,Consultant,,IE
CountryLookupValue,C157,Consultant Engineer,,IE
CountryLookupValue,C158,Consumer Scientist,,IE
CountryLookupValue,C159,Contract Cleaner,,IE
CountryLookupValue,C160,Contract Furnisher,,IE
CountryLookupValue,C161,Contract Manager,,IE
CountryLookupValue,C162,Contractor,,IE
CountryLookupValue,C163,Contracts Supervisor,,IE
CountryLookupValue,C164,Conveyancer,,IE
CountryLookupValue,C165,Cook,,IE
CountryLookupValue,C166,Cooper,,IE
CountryLookupValue,C167,Copywriter,,IE
CountryLookupValue,C168,Coroner,,IE
CountryLookupValue,C169,Corrosion Consultant,,IE
CountryLookupValue,C170,Costume Designer,,IE
CountryLookupValue,C171,Costume Jeweller,,IE
CountryLookupValue,C172,Costumier,,IE
CountryLookupValue,C173,Council Worker,,IE
CountryLookupValue,C174,Counsellor,,IE
CountryLookupValue,C175,Countryside Ranger,,IE
CountryLookupValue,C176,County Councillor,,IE
CountryLookupValue,C177,Courier,,IE
CountryLookupValue,C178,Court Officer,,IE
CountryLookupValue,C179,Craft Dealer,,IE
CountryLookupValue,C180,Craftsman,,IE
CountryLookupValue,C181,Craftswoman,,IE
CountryLookupValue,C182,Crane Driver,,IE
CountryLookupValue,C183,Crane Erector,,IE
CountryLookupValue,C184,Crane Operator,,IE
CountryLookupValue,C185,Creche Worker,,IE
CountryLookupValue,C186,Credit Broker,,IE
CountryLookupValue,C187,Credit Control,,IE
CountryLookupValue,C188,Credit Controller,,IE
CountryLookupValue,C189,Credit Draper,,IE
